Dark Matter mass = 339.322 GeV
Coupling = 9.14787e-12T in GeV, sigmav in GeV^-2
Channel: all
#############################
T,sigmav
144825,2.82125e-38
151179,2.58912e-38
157812,2.376e-38
164736,2.1805e-38
171963,2.00108e-38
179508,1.83637e-38
187384,1.68527e-38
195605,1.5466e-38
204187,1.4193e-38
213145,1.30252e-38
222497,1.19534e-38
232258,1.09695e-38
242448,1.00669e-38
253085,9.23863e-39
264189,8.47818e-39
275780,7.7806e-39
287879,7.14016e-39
300510,6.55267e-39
313694,6.01352e-39
327457,5.51854e-39
341824,5.06448e-39
356821,4.64761e-39
372476,4.26521e-39
388818,3.91428e-39
405877,3.59209e-39
423684,3.29654e-39
442272,3.0252e-39
461676,2.77629e-39
481932,2.54777e-39
503076,2.33815e-39
525148,2.14569e-39
548188,1.96915e-39
572239,1.80713e-39
597345,1.65839e-39
623552,1.52194e-39
650910,1.39667e-39
679468,1.28176e-39
709278,1.17626e-39
740397,1.07948e-39
772881,9.90628e-40
806790,9.09124e-40
842187,8.34294e-40
879136,7.65653e-40
917707,7.02632e-40
957970,6.44823e-40
1e+06,5.91749e-40
